TransectGroup,SPECIES,Count.FF,Count.POV,Count.BM,Count.TC,Photo.ID,BSS.1,BSS.2,BSS.3,Glare.1,Glare.2,Glare.3,BH.W,BH.F,BH.WF,BH.FW,BH.2F1W,BH.B,BH.BW,BH.Piling,BH.P,BH.F1W,BH.M,BH.H,BH.R,platform,Group,sp.group,Transect
20120308_012 4,UNGU,1,1,1,1,1782,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 4,gull,20120308_012
20120308_012 5,COMU,0,1,0,1,1790,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 5,common murre,20120308_012
20120308_017 1,HOGR,1,0,0,0,1303,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 1,horned grebe,20120308_017
20120308_017 2,BUFF,3,0,4,0,1333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7 2,bufflehead,20120308_017
20120308_017 2,DCCO,3,3,3,3,2568,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 2,double-crested cormorant,20120308_017
20120308_017 3,HOGR,1,0,0,0,1339,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 3,horned grebe,20120308_017
20120308_017 4,BUFF,7,5,4,7,2607,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 4,bufflehead,20120308_017
20120308_017 4,HOGR,1,0,0,0,1356,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 4,horned grebe,20120308_017
20120308_017 5,HOGR,3,0,1,0,1360,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 5,horned grebe,20120308_017
20120308_018 1,HOGR,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8 1,horned grebe,20120308_018
20120308_018 2,BUFF,3,3,5,3,2643,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 2,bufflehead,20120308_018
20120308_018 2,HOGR,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 2,horned grebe,20120308_018
20120308_018 3,BUFF,12,10,6,7,2711,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 3,bufflehead,20120308_018
20120308_018 4,MALL,2,2,2,0,2711,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 4,mallard duck,20120308_018
20120308_018 5,UBWG,1,0,0,1,1436,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8 5,gull,20120308_018
20120308_018 5,UNGU,1,1,0,1,2755,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8 5,gull,20120308_018
20120308_019 1,UNGU,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 1,gull,20120308_019
20120308_019 2,UNGU,4,0,1,1,1481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9 2,gull,20120308_019
20120308_019 3,UBWG,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9 3,gull,20120308_019
20120308_019 3,UNGU,2,0,0,0,1515,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9 3,gull,20120308_019
20120308_019 4,BUFF,2,0,4,3,1559,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 4,bufflehead,20120308_019
20120308_019 5,BUFF,1,0,0,0,1579,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 5,bufflehead,20120308_019
20120308_019 6,BUFF,3,0,2,2,1582,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 6,bufflehead,20120308_019
20120308_020 1,BUFF,1,0,0,0,1613,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 1,bufflehead,20120308_020
20120308_020 10,BUFF,1,0,1,1,1683,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,bufflehead,20120308_020
20120308_020 11,BUFF,1,0,1,1,1686,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11,bufflehead,20120308_020
20120308_020 12,BUFF,1,0,1,1,1692,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,12,bufflehead,20120308_020
20120308_020 2,BAGO,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 2,Barrow's goldeneye,20120308_020
20120308_020 2,COGO,1,0,1,0,1619,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0 2,common goldeneye,20120308_020
20120308_020 3,BUFF,2,0,0,2,1620,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 3,bufflehead,20120308_020
20120308_020 4,BUFF,4,1,1,2,2988,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0 4,bufflehead,20120308_020
20120308_020 5,BAGO,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 5,Barrow's goldeneye,20120308_020
20120308_020 5,COGO,2,0,1,0,1635,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 5,common goldeneye,20120308_020
20120308_020 6,BUFF,1,0,2,2,1640,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 6,bufflehead,20120308_020
20120308_020 7,BUFF,4,0,4,4,1643,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 7,bufflehead,20120308_020
20120308_020 8,BUFF,10,0,9,5,1674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 8,bufflehead,20120308_020
20120308_020 9,UNGU,1,0,1,1,1678,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0 9,gull,20120308_020
20120308_021 1,BUFF,0,0,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1 1,bufflehead,20120308_021
20120308_021 2,BUFF,6,0,4,4,1711,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1 2,bufflehead,20120308_021
20120308_021 2,UBWG,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1 2,gull,20120308_021
20120308_021 3,BUFF,14,0,12,17,1766,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1 3,bufflehead,20120308_021
20120308_021 4,COGO,1,0,1,1,1770,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1 4,common goldeneye,20120308_021
20120308_021 5,BUFF,17,0,16,21,1795,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1 5,bufflehead,20120308_021
20120308_021 5,UBWG,1,0,0,0,1776,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1 5,gull,20120308_021
20120308_023 1,AMWI,34,65,15,25,3251,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 1,American wigeon,20120308_023
20120308_023 1,EUWI,2,2,0,0,3251,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 1,Eurasian wigeon,20120308_023
20120308_023 1,MALL,2,3,0,0,3251,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 1,mallard duck,20120308_023
20120308_023 1,NOPI,0,2,0,0,3243,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 1,northern pintail,20120308_023
20120308_023 1,UNGU,1,0,0,0,1815,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3 1,gull,20120308_023
20120308_023 2,AMWI,274,248,186,54,3296,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 2,American wigeon,20120308_023
20120308_023 2,BUFF,1,1,0,0,3275,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3 2,bufflehead,20120308_023
20120308_023 2,EUWI,0,1,0,0,3281,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 2,Eurasian wigeon,20120308_023
20120308_023 3,RBME,0,1,0,0,3300,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3 3,red-breasted merganser,20120308_023
20120308_023 4,AMWI,2,3,3,8,3322,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 4,American wigeon,20120308_023
20120308_023 4,BLBR,2,0,0,0,1857,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3 4,goose,20120308_023
20120308_023 4,BUFF,0,1,1,1,3312,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3 4,bufflehead,20120308_023
20120308_023 4,UNGU,1,1,0,0,3303,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 4,gull,20120308_023
20120308_023 5,BUFF,0,1,1,1,3350,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 5,bufflehead,20120308_023
20120308_023 6,AMWI,57,6,2,2,3407,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 6,American wigeon,20120308_023
20120308_023 6,BLBR,53,2,2,2,3403,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3 6,goose,20120308_023
20120308_024 1,COLO,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4 1,common loon,20120308_024
20120308_024 2,BLBR,2,0,0,0,1907,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4 2,goose,20120308_024
20120308_024 3,BUFF,31,16,10,7,3468,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4 3,bufflehead,20120308_024
20120308_024 4,BLBR,2,0,0,0,1937,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4 4,goose,20120308_024
20120308_024 4,BUFF,3,0,2,0,1937,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4 4,bufflehead,20120308_024
20120308_024 5,COLO,1,0,1,1,1939,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4 5,common loon,20120308_024
20120308_024 6,BUFF,30,0,0,0,1956,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4 6,bufflehead,20120308_024
20120308_024 6,UNGU,1,0,0,0,1954,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4 6,gull,20120308_024
20120308_024 7,UBWG,0,1,1,1,3557,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4 7,gull,20120308_024
20120308_024 7,UNGU,1,0,0,0,1956,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4 7,gull,20120308_024
20120308_024 8,BUFF,0,1,1,0,3570,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4 8,bufflehead,20120308_024
20120308_025 1,BUFF,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5 1,bufflehead,20120308_025
20120308_025 2,UNGU,0,3,3,3,3583,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 2,gull,20120308_025
20120308_025 3,AMWI,0,3,4,4,3626,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 3,American wigeon,20120308_025
20120308_025 4,COGO,6,9,9,0,3638,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 4,common goldeneye,20120308_025
20120308_025 4,SCAU,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 4,scaup,20120308_025
20120308_025 5,AMWI,449,516,146,91,3737,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 5,American wigeon,20120308_025
20120308_025 5,EUWI,8,11,0,0,3722,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 5,Eurasian wigeon,20120308_025
20120308_025 5,MALL,13,8,0,0,3740,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 5,mallard duck,20120308_025
20120308_025 5,NOPI,18,18,0,0,3728,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 5,northern pintail,20120308_025
20120308_025 5,UNGU,24,24,14,9,3738,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5 5,gull,20120308_025
20120308_026 1,UNGU,0,1,2,1,3744,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6 1,gull,20120308_026
20120308_026 2,AMWI,5,2,0,0,3782,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6 2,American wigeon,20120308_026
20120308_026 3,BUFF,6,5,4,0,3801,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6 3,bufflehead,20120308_026
20120308_026 4,UNGU,1,0,0,0,2109,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6 4,gull,20120308_026
20120308_026 5,COGO,4,3,2,0,3840,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6 5,common goldeneye,20120308_026
20120308_026 6,BUFF,8,0,11,9,2141,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6 6,bufflehead,20120308_026
20120308_026 6,GWGU,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6 6,gull,20120308_026
20120308_027 1,BUFF,16,16,21,13,3960,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7 1,bufflehead,20120308_027
20120308_027 2,BUFF,21,12,13,13,4011,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 2,bufflehead,20120308_027
20120308_027 3,BUFF,5,3,1,2,4055,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 3,bufflehead,20120308_027
20120308_027 3,SUSC,1,3,3,0,4056,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 3,surf scoter,20120308_027
20120308_027 4,BUFF,18,18,14,10,4073,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 4,bufflehead,20120308_027
20120308_027 4,COGO,1,0,0,0,2222,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 4,common goldeneye,20120308_027
20120308_027 4,SUSC,6,3,5,3,4075,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7 4,surf scoter,20120308_027
20120308_028 1,BUFF,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8 1,bufflehead,20120308_028
20120308_028 1,SUSC,0,0,4,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,8 1,surf scoter,20120308_028
20120308_028 2,BUFF,1,0,1,0,2246,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 2,bufflehead,20120308_028
20120308_028 3,BUFF,7,6,10,6,4137,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 3,bufflehead,20120308_028
20120308_028 4,BUFF,4,4,2,2,4163,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 4,bufflehead,20120308_028
20120308_028 4,COGO,1,1,1,1,4147,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 4,common goldeneye,20120308_028
20120308_028 5,COLO,1,1,1,1,4166,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 5,common loon,20120308_028
20120308_028 6,BUFF,19,25,20,16,4199,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 6,bufflehead,20120308_028
20120308_028 7,BLBR,8,2,8,2,4203,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8 7,goose,20120308_028
20120308_028 7,HOGR,1,1,0,0,4209,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 7,horned grebe,20120308_028
20120308_028 7,UNGU,1,1,0,0,4214,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 7,gull,20120308_028
20120308_028 8,BLBR,7,6,4,4,4222,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8 8,goose,20120308_028
20120308_028 8,HOGR,2,2,0,0,4215,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 8,horned grebe,20120308_028
20120308_028 8,WWSC,2,3,2,2,4214,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 8,white-winged scoter,20120308_028
20120308_028 9,UNGU,3,1,1,1,4228,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8 9,gull,20120308_028
20120308_029 1,BLBR,10,4,10,8,4283,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9 1,goose,20120308_029
20120308_029 1,BUFF,0,1,0,0,4287,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9 1,bufflehead,20120308_029
20120308_029 2,BUFF,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9 2,bufflehead,20120308_029
20120308_029 2,COGO,3,3,2,2,4288,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9 2,common goldeneye,20120308_029
20120308_029 2,COMU,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9 2,common murre,20120308_029
20120308_029 3,BLBR,8,17,18,17,4313,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9 3,goose,20120308_029
20120308_029 4,UNGU,1,1,1,1,4349,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9 4,gull,20120308_029
20120308_029 5,UBWG,2,1,3,2,4407,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9 5,gull,20120308_029
20120308_029 5,UNGU,0,1,0,0,4409,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9 5,gull,20120308_029
20120308_030 1,MAMU,1,1,0,0,4474,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 1,marbled murrelet,20120308_030
20120308_030 1,LTDU,5,3,3,3,4475,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 1,long-tailed duck,20120308_030
20120308_030 1,RHAU,1,0,0,0,2427,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 1,rhinoceros auklet,20120308_030
20120308_030 3,COLO,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0 3,common loon,20120308_030
20120308_030 4,UBWG,1,1,1,1,4499,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0 4,gull,20120308_030
20120308_032 1,SUSC,0,1,1,1,4584,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 1,surf scoter,20120308_032
20120308_032 2,LTDU,3,2,0,1,4600,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 2,long-tailed duck,20120308_032
20120308_032 3,LTDU,1,1,1,0,4616,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 3,long-tailed duck,20120308_032
20120308_032 4,LTDU,1,0,0,0,2531,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 4,long-tailed duck,20120308_032
20120308_032 5,LTDU,0,1,1,0,4667,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2 5,long-tailed duck,20120308_032
20120308_036 1,LTDU,1,0,1,1,2890,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6 1,long-tailed duck,20120308_036
20120308_036 2,LTDU,1,1,1,1,5327,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6 2,long-tailed duck,20120308_036
20120308_037 1,COMU,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7 1,common murre,20120308_037
20120308_037 10,COMU,1,0,0,0,3031,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,10,common murre,20120308_037
20120308_037 2,COMU,1,0,1,1,2961,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 2,common murre,20120308_037
20120308_037 3,HOGR,1,0,0,0,2971,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 3,horned grebe,20120308_037
20120308_037 4,LTDU,1,0,1,1,2983,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 4,long-tailed duck,20120308_037
20120308_037 5,COMU,3,0,0,0,2983,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 5,common murre,20120308_037
20120308_037 6,HOGR,12,0,0,6,2994,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 6,horned grebe,20120308_037
20120308_037 7,COMU,7,0,4,7,3003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 7,common murre,20120308_037
20120308_037 8,MAMU,2,0,2,2,3008,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7 8,marbled murrelet,20120308_037
20120308_037 9,COMU,1,0,0,0,3030,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7 9,common murre,20120308_037
20120308_038 1,UBWG,1,0,1,1,3134,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8 1,gull,20120308_038
20120308_038 2,UNGU,1,0,1,1,3140,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8 2,gull,20120308_038
20120308_039 1,LTDU,2,0,2,0,3233,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 1,long-tailed duck,20120308_039
20120308_039 1,PIGU,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 1,pigeon guillemot,20120308_039
20120308_039 3,BUFF,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 3,bufflehead,20120308_039
20120308_039 3,HOGR,1,0,1,0,3263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9 3,horned grebe,20120308_039
20120308_039 3,PIGU,2,0,0,0,3267,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9 3,pigeon guillemot,20120308_039
