CODE,DESCRIPT
LOCA,Location Mark
LOTU,"Turtle, loggerhead"
LTDU,Long-tailed Duck
LTJA,"Jaeger, long-tailed"
MAGO,"Godwit, marbled"
MALL,Mallard
MAMU,"Murrelet, marbled"
MEGU,"Gull, mew"
MIWH,"Whale, minke"
MOPE,"Petrel, mottled"
NASL,"Slick, natural"
NOFL,"Flicker, northern"
NOFS,"Seal, northern fur"
NOFU,"Fulmar, northern"
NOHA,"Harrier, northern"
NOPI,"Pintail, northern"
NOSH,"Shoveler, northern"
NRWD,"Dolphin, northern right whale"
NWCR,"Crow, northwestern"
OISL,"Slick, oil"
OLDS,Long-tailed Duck
OSPR,Osprey
OTPT,"Pterodoma, other"
PAAU,"Auklet, parakeet"
PAJA,"Jaeger, parasitic"
PALO,"Loon, Pacific"
PBGR,Peid-billed Grebe
PECO,"Cormorant, pelagic"
PEFA,"Falcon, peregrine"
PFSH,"Shearwater, pink footed"
PHYS,Physical information update
PIGU,Pigeon Guillemot
PIWH,"Whale, pilot"
PLAD,"Plankton, diatom"
PLAE,"Plankton, euphausid"
PLAJ,"Plankton, jellyfish"
PLAU,"Plankton, unknown"
PLAV,"Plankton, velella"
POJA,"Jaeger, pomarine"
RBGU,"Gull, ring-billed"
RBME,"Merganser, red-breasted"
REPH,"Phalarope, red"
RHAU,Rhinoceros Auklet
RIDO,"Dolphin, risso's"
RIOT,"Otter, river"
RIWH,"Whale, right"
RLHA,"Hawk, rough-legged"
RNDU,"Duck, ring-necked"
RNGR,"Grebe, Red-necked"
RNPH,"Phalarope, red-necked"
RODO,Rock Dove
ROSA,"Sandpiper, rock"
RTHA,"Hawk, red-tailed"
RTLO,"Loon, Red-throated"
RUDU,Ruddy Duck
RUTU,"Turnstone, ruddy"
SAGU,"Gull, sabine's"
SAND,Sanderling
SBDO,"Dowitcher, short-billed"
SCAU,Scaup
SEOT,"Otter, sea"
SEPL,"Plover, semi-palmated"
SEWH,"Whale, sei"
SHAB,"Shark, blue"
SHAU,"Shark, unknown"
SNGO,"Goose, snow"
SOSH,"Shearwater, sooty"
SPSA,Spotted Sandpiper
SPSK,"Skua, south polar"
SPWH,"Whale, sperm"
STSH,"Shearwater, short-tailed"
STSL,"Sea lion, stellar"
SURF,Surfbird
SUSC,Surf Scoter
TBMU,"Murre, thick-billed"
TEAL,"Teal, Unid."
TEBO,Temperature boundary
TECH,Technical Note
THGU,"Gull, thayer's"
TIBO,Tidal Boundary
TRSW,"Swan, trumpeter"
TUPU,"Puffin, tufted"
TURN,"Turnstone, unclassified"
TURT,"Turtle, unclassified sea"
TUSW,"Swan, tundra"
TUVU,Turkey Vulture
UBWG,"Gull, unclassified black-wing tip"
UBWH,"Baleen Whale, unclassified"
UCTE,"Tern, unclassified 'commic'"
UDSH,"Shearwater, unclassified dark"
ULAC,"Alcid, unclassified large"
ULGR,"Grebe, unclassified large"
ULGU,"Gull, unclassified large"
ULSD,"Shorebirds, unclassified large"
ULTW,"Toothed Whale, unclassified large"
UMAC,"Alcid, unclassified medium"
UMSD,"Shorebirds, unclassified medium"
UMTW,"Toothed Whale, unclassified medium"
UNAC,"Alcid, unclassified"
UNAL,"Albatross, unclassified"
UNCE,"Cetacean, unclassified"
UNCO,"Cormorant, Unid."
UNDD,"Diving Duck, Unid."
UNDO,"Dowitcher, unclassified"
UNDU,"Duck, unclassified"
UNGO,"Goldeneye, Unid."
UNGR,"Grebe, unclassified"
UNGU,"Gull, Unid."
UNJA,"Jaeger, unclassified"
UNKI,"Kittiwake, unclassified"
UNLO,"Loon, Unid."
UNME,"Merganser, Unid"
UNML,"Murrelet, unclassified"
UNMM,"Marine mammal, unclassified"
UNMU,"Murre, Unid."
UNPD,"Duck, unclassified dabbling/pond"
UNPH,"Phalarope, unclassified"
UNPI,"Pinniped, unclassified"
UNPO,"Porpoise, unclassified"
UNPT,"Pterodoma, unclassified"
UNPU,"Puffin, unclassified"
UNSB,"Sea bird, unclassified"
UNSC,"Scoter , Unid."
UNSD,"Sandpiper, unclassified"
UNSH,"Shearwater, unclassified"
UNSL,"Sea lion, unclassified"
UNSP,"Storm-petrel, unclassified"
UNSW,"Swan, unclassified"
UNTB,"Tubenose, unclassified"
UNTE,"Tern, unclassified"
UNYE,"Yellowlegs, unclassified"
USAC,"Alcid, unclassified small"
USGR,"Grebe, unclassified small"
USGU,"Gull, unclassified small"
USSD,"Shorebirds, unclassified small"
USTW,"Toothed Whale, unclassified small"
UTWH,"Toothed Whale, unclassified"
VESB,"Vessel, bottom trawler"
VESC,"Vessel, cargo"
VESF,"Vessel, fishing"
VESH,"Vessel, hake"
VESM,"Vessel, military"
VESP,"Vessel, pot crabber"
VESR,"Vessel, research"
VESS,"Vessel, shrimp"
VEST,"Vessel, troller"
VESU,"Vessel, unknown"
WATA,"Tattler, wandering"
WEGR,Western Grebe
WEGU,"Gull, Western"
WESA,"Sandpiper, western"
WFGO,"Goose, white-fronted"
WGGU,"Gull, western x glaucous winged"
WHIM,Whimbrel
WHPE,"Pelican, white"
WILL,Willet (sandpiper)
WSDO,"Dolphin, white-sided"
WWSC,White-winged Scoter
YBLO,"Loon, yellow-billed"
